Date,^FCHI,^FTSE,^GSPC
2021-01-04 00:00:00+00:00,5588.9599609375,6571.89990234375,3700.64990234375
2021-01-05 00:00:00+00:00,5564.60009765625,6612.2998046875,3726.860107421875
2021-01-06 00:00:00+00:00,5630.60009765625,6841.89990234375,3748.139892578125
2021-01-07 00:00:00+00:00,5669.85009765625,6857.0,3803.7900390625
2021-01-08 00:00:00+00:00,5706.8798828125,6873.2998046875,3824.679931640625
2021-01-11 00:00:00+00:00,5662.43017578125,6798.5,3799.610107421875
2021-01-12 00:00:00+00:00,5650.97021484375,6754.10009765625,3801.18994140625
2021-01-13 00:00:00+00:00,5662.669921875,6745.5,3809.840087890625
2021-01-14 00:00:00+00:00,5681.14013671875,6802.0,3795.5400390625
2021-01-15 00:00:00+00:00,5611.68994140625,6735.7001953125,3768.25
2021-01-19 00:00:00+00:00,5598.60986328125,6713.0,3798.909912109375
2021-01-20 00:00:00+00:00,5628.43994140625,6740.39990234375,3851.85009765625
2021-01-21 00:00:00+00:00,5590.7900390625,6715.39990234375,3853.070068359375
2021-01-22 00:00:00+00:00,5559.56982421875,6695.10009765625,3841.469970703125
2021-01-25 00:00:00+00:00,5472.35986328125,6638.89990234375,3855.360107421875
2021-01-26 00:00:00+00:00,5523.52001953125,6654.0,3849.6201171875
2021-01-27 00:00:00+00:00,5459.6201171875,6567.39990234375,3750.77001953125
2021-01-28 00:00:00+00:00,5510.52001953125,6526.2001953125,3787.3798828125
2021-01-29 00:00:00+00:00,5399.2099609375,6407.5,3714.239990234375
2021-02-01 00:00:00+00:00,5461.68017578125,6466.39990234375,3773.860107421875
2021-02-02 00:00:00+00:00,5563.10986328125,6516.7001953125,3826.31005859375
2021-02-03 00:00:00+00:00,5563.0498046875,6507.7998046875,3830.169921875
2021-02-04 00:00:00+00:00,5608.5400390625,6503.7001953125,3871.739990234375
2021-02-05 00:00:00+00:00,5659.259765625,6489.2998046875,3886.830078125
2021-02-08 00:00:00+00:00,5686.02978515625,6523.5,3915.590087890625
2021-02-09 00:00:00+00:00,5691.5400390625,6531.60009765625,3911.22998046875
2021-02-10 00:00:00+00:00,5670.7998046875,6524.39990234375,3909.8798828125
2021-02-11 00:00:00+00:00,5669.81982421875,6528.7001953125,3916.3798828125
2021-02-12 00:00:00+00:00,5703.669921875,6589.7998046875,3934.830078125
2021-02-16 00:00:00+00:00,5786.52978515625,6748.89990234375,3932.590087890625
2021-02-17 00:00:00+00:00,5765.83984375,6710.89990234375,3931.330078125
2021-02-18 00:00:00+00:00,5728.330078125,6617.2001953125,3913.969970703125
2021-02-19 00:00:00+00:00,5773.5498046875,6624.0,3906.7099609375
2021-02-22 00:00:00+00:00,5767.43994140625,6612.2001953125,3876.5
2021-02-23 00:00:00+00:00,5779.83984375,6625.89990234375,3881.3701171875
2021-02-24 00:00:00+00:00,5797.97998046875,6659.0,3925.429931640625
2021-02-25 00:00:00+00:00,5783.89013671875,6652.0,3829.340087890625
2021-02-26 00:00:00+00:00,5703.22021484375,6483.39990234375,3811.14990234375
2021-03-01 00:00:00+00:00,5792.7900390625,6588.5,3901.820068359375
2021-03-02 00:00:00+00:00,5809.72998046875,6613.7998046875,3870.2900390625
2021-03-03 00:00:00+00:00,5830.06005859375,6675.5,3819.719970703125
2021-03-04 00:00:00+00:00,5830.64990234375,6650.89990234375,3768.469970703125
2021-03-05 00:00:00+00:00,5782.64990234375,6630.5,3841.93994140625
2021-03-08 00:00:00+00:00,5902.990234375,6719.10009765625,3821.35009765625
2021-03-09 00:00:00+00:00,5924.97021484375,6730.2998046875,3875.43994140625
2021-03-10 00:00:00+00:00,5990.5498046875,6725.60009765625,3898.81005859375
2021-03-11 00:00:00+00:00,6033.759765625,6737.0,3939.340087890625
2021-03-12 00:00:00+00:00,6046.5498046875,6761.5,3943.340087890625
2021-03-15 00:00:00+00:00,6035.97021484375,6749.7001953125,3968.93994140625
2021-03-16 00:00:00+00:00,6055.43017578125,6803.60009765625,3962.7099609375
2021-03-17 00:00:00+00:00,6054.81982421875,6762.7001953125,3974.1201171875
2021-03-18 00:00:00+00:00,6062.7900390625,6779.7001953125,3915.4599609375
2021-03-19 00:00:00+00:00,5997.9599609375,6708.7001953125,3913.10009765625
2021-03-22 00:00:00+00:00,5968.47998046875,6726.10009765625,3940.590087890625
2021-03-23 00:00:00+00:00,5945.2998046875,6699.2001953125,3910.52001953125
2021-03-24 00:00:00+00:00,5947.2900390625,6712.89990234375,3889.139892578125
2021-03-25 00:00:00+00:00,5952.41015625,6674.7998046875,3909.52001953125
2021-03-26 00:00:00+00:00,5988.81005859375,6740.60009765625,3974.5400390625
2021-03-29 00:00:00+00:00,6015.509765625,6736.2001953125,3971.090087890625
2021-03-30 00:00:00+00:00,6088.0400390625,6772.10009765625,3958.550048828125
2021-03-31 00:00:00+00:00,6067.22998046875,6713.60009765625,3972.889892578125
2021-04-01 00:00:00+00:00,6102.9599609375,6737.2998046875,4019.8701171875
2021-04-05 00:00:00+00:00,6102.9599609375,6737.2998046875,4077.909912109375
2021-04-06 00:00:00+00:00,6131.33984375,6823.60009765625,4073.93994140625
2021-04-07 00:00:00+00:00,6130.66015625,6885.2998046875,4079.949951171875
2021-04-08 00:00:00+00:00,6165.72021484375,6942.2001953125,4097.169921875
2021-04-09 00:00:00+00:00,6169.41015625,6915.7998046875,4128.7998046875
2021-04-12 00:00:00+00:00,6161.68017578125,6889.10009765625,4127.990234375
2021-04-13 00:00:00+00:00,6184.10009765625,6890.5,4141.58984375
2021-04-14 00:00:00+00:00,6208.580078125,6939.60009765625,4124.66015625
2021-04-15 00:00:00+00:00,6234.14013671875,6983.5,4170.419921875
2021-04-16 00:00:00+00:00,6287.06982421875,7019.5,4185.47021484375
2021-04-19 00:00:00+00:00,6296.68994140625,7000.10009765625,4163.259765625
2021-04-20 00:00:00+00:00,6165.10986328125,6859.89990234375,4134.93994140625
2021-04-21 00:00:00+00:00,6210.5498046875,6895.2998046875,4173.419921875
2021-04-22 00:00:00+00:00,6267.27978515625,6938.2001953125,4134.97998046875
2021-04-23 00:00:00+00:00,6257.93994140625,6938.60009765625,4180.169921875
2021-04-26 00:00:00+00:00,6275.52001953125,6963.10009765625,4187.6201171875
2021-04-27 00:00:00+00:00,6273.759765625,6945.0,4186.72021484375
2021-04-28 00:00:00+00:00,6306.97998046875,6963.7001953125,4183.18017578125
2021-04-29 00:00:00+00:00,6302.56982421875,6961.5,4211.47021484375
2021-04-30 00:00:00+00:00,6269.47998046875,6969.7998046875,4181.169921875
2021-05-03 00:00:00+00:00,6307.89990234375,6969.7998046875,4192.66015625
2021-05-04 00:00:00+00:00,6251.75,6923.2001953125,4164.66015625
2021-05-05 00:00:00+00:00,6339.47021484375,7039.2998046875,4167.58984375
2021-05-06 00:00:00+00:00,6357.08984375,7076.2001953125,4201.6201171875
2021-05-07 00:00:00+00:00,6385.509765625,7129.7001953125,4232.60009765625
2021-05-10 00:00:00+00:00,6385.990234375,7123.7001953125,4188.43017578125
2021-05-11 00:00:00+00:00,6267.39013671875,6948.0,4152.10009765625
2021-05-12 00:00:00+00:00,6279.35009765625,7004.60009765625,4063.0400390625
2021-05-13 00:00:00+00:00,6288.330078125,6963.2998046875,4112.5
2021-05-14 00:00:00+00:00,6385.14013671875,7043.60009765625,4173.85009765625
2021-05-17 00:00:00+00:00,6367.35009765625,7032.89990234375,4163.2900390625
2021-05-18 00:00:00+00:00,6353.669921875,7034.2001953125,4127.830078125
2021-05-19 00:00:00+00:00,6262.5498046875,6950.2001953125,4115.68017578125
2021-05-20 00:00:00+00:00,6343.580078125,7019.7998046875,4159.1201171875
2021-05-21 00:00:00+00:00,6386.41015625,7018.10009765625,4155.85986328125
2021-05-24 00:00:00+00:00,6408.490234375,7051.60009765625,4197.0498046875
2021-05-25 00:00:00+00:00,6390.27001953125,7029.7998046875,4188.1298828125
2021-05-26 00:00:00+00:00,6391.60009765625,7026.89990234375,4195.990234375
2021-05-27 00:00:00+00:00,6435.7099609375,7019.7001953125,4200.8798828125
2021-05-28 00:00:00+00:00,6484.10986328125,7022.60009765625,4204.10986328125
2021-06-01 00:00:00+00:00,6489.39990234375,7080.5,4202.0400390625
2021-06-02 00:00:00+00:00,6521.52001953125,7108.0,4208.1201171875
2021-06-03 00:00:00+00:00,6507.919921875,7064.39990234375,4192.85009765625
2021-06-04 00:00:00+00:00,6515.66015625,7069.0,4229.89013671875
2021-06-07 00:00:00+00:00,6543.56005859375,7077.2001953125,4226.52001953125
2021-06-08 00:00:00+00:00,6551.009765625,7095.10009765625,4227.259765625
2021-06-09 00:00:00+00:00,6563.4501953125,7081.0,4219.5498046875
2021-06-10 00:00:00+00:00,6546.490234375,7088.2001953125,4239.18017578125
2021-06-11 00:00:00+00:00,6600.66015625,7134.10009765625,4247.43994140625
2021-06-14 00:00:00+00:00,6616.35009765625,7146.7001953125,4255.14990234375
2021-06-15 00:00:00+00:00,6639.52001953125,7172.5,4246.58984375
2021-06-16 00:00:00+00:00,6652.64990234375,7185.0,4223.7001953125
2021-06-17 00:00:00+00:00,6666.259765625,7153.39990234375,4221.85986328125
2021-06-18 00:00:00+00:00,6569.16015625,7017.5,4166.4501953125
2021-06-21 00:00:00+00:00,6602.5400390625,7062.2998046875,4224.7900390625
2021-06-22 00:00:00+00:00,6611.5,7090.0,4246.43994140625
2021-06-23 00:00:00+00:00,6551.06982421875,7074.10009765625,4241.83984375
2021-06-24 00:00:00+00:00,6631.14990234375,7110.0,4266.490234375
2021-06-25 00:00:00+00:00,6622.8701171875,7136.10009765625,4280.7001953125
2021-06-28 00:00:00+00:00,6558.02001953125,7073.0,4290.60986328125
2021-06-29 00:00:00+00:00,6567.43017578125,7087.60009765625,4291.7998046875
2021-06-30 00:00:00+00:00,6507.830078125,7037.5,4297.5
2021-07-01 00:00:00+00:00,6553.81982421875,7125.2001953125,4319.93994140625
2021-07-02 00:00:00+00:00,6552.85986328125,7123.2998046875,4352.33984375
2021-07-06 00:00:00+00:00,6507.47998046875,7100.89990234375,4343.5400390625
2021-07-07 00:00:00+00:00,6527.72021484375,7151.0,4358.1298828125
2021-07-08 00:00:00+00:00,6396.72998046875,7030.7001953125,4320.81982421875
2021-07-09 00:00:00+00:00,6529.419921875,7121.89990234375,4369.5498046875
2021-07-12 00:00:00+00:00,6559.25,7125.39990234375,4384.6298828125
2021-07-13 00:00:00+00:00,6558.47021484375,7124.7001953125,4369.2099609375
2021-07-14 00:00:00+00:00,6558.3798828125,7091.2001953125,4374.2998046875
2021-07-15 00:00:00+00:00,6493.35986328125,7012.0,4360.02978515625
2021-07-16 00:00:00+00:00,6460.080078125,7008.10009765625,4327.16015625
2021-07-19 00:00:00+00:00,6295.97021484375,6844.39990234375,4258.490234375
2021-07-20 00:00:00+00:00,6346.85009765625,6881.10009765625,4323.06005859375
2021-07-21 00:00:00+00:00,6464.47998046875,6998.2998046875,4358.68994140625
2021-07-22 00:00:00+00:00,6481.58984375,6968.2998046875,4367.47998046875
2021-07-23 00:00:00+00:00,6568.81982421875,7027.60009765625,4411.7900390625
2021-07-26 00:00:00+00:00,6578.60009765625,7025.39990234375,4422.2998046875
2021-07-27 00:00:00+00:00,6531.919921875,6996.10009765625,4401.4599609375
2021-07-28 00:00:00+00:00,6609.31005859375,7016.60009765625,4400.64013671875
2021-07-29 00:00:00+00:00,6633.77001953125,7078.39990234375,4419.14990234375
2021-07-30 00:00:00+00:00,6612.759765625,7032.2998046875,4395.259765625
2021-08-02 00:00:00+00:00,6675.89990234375,7081.7001953125,4387.16015625
2021-08-03 00:00:00+00:00,6723.81005859375,7105.7001953125,4423.14990234375
2021-08-04 00:00:00+00:00,6746.22998046875,7123.89990234375,4402.66015625
2021-08-05 00:00:00+00:00,6781.18994140625,7120.39990234375,4429.10009765625
2021-08-06 00:00:00+00:00,6816.9599609375,7123.0,4436.52001953125
2021-08-09 00:00:00+00:00,6813.18017578125,7132.2998046875,4432.35009765625
2021-08-10 00:00:00+00:00,6820.2099609375,7161.0,4436.75
2021-08-11 00:00:00+00:00,6857.990234375,7220.10009765625,4442.41015625
2021-08-12 00:00:00+00:00,6882.47021484375,7193.2001953125,4460.830078125
2021-08-13 00:00:00+00:00,6896.0400390625,7218.7001953125,4468.0
2021-08-16 00:00:00+00:00,6838.77001953125,7154.0,4479.7099609375
2021-08-17 00:00:00+00:00,6819.83984375,7181.10009765625,4448.080078125
2021-08-18 00:00:00+00:00,6770.10986328125,7169.2998046875,4400.27001953125
2021-08-19 00:00:00+00:00,6605.89013671875,7058.89990234375,4405.7998046875
2021-08-20 00:00:00+00:00,6626.10986328125,7087.89990234375,4441.669921875
2021-08-23 00:00:00+00:00,6683.10009765625,7109.0,4479.52978515625
2021-08-24 00:00:00+00:00,6664.31005859375,7125.7998046875,4486.22998046875
2021-08-25 00:00:00+00:00,6676.47998046875,7150.10009765625,4496.18994140625
2021-08-26 00:00:00+00:00,6666.02978515625,7125.0,4470.0
2021-08-27 00:00:00+00:00,6681.919921875,7148.0,4509.3701171875
2021-08-30 00:00:00+00:00,6687.2998046875,7148.0,4528.7900390625
2021-08-31 00:00:00+00:00,6680.18017578125,7119.7001953125,4522.68017578125
2021-09-01 00:00:00+00:00,6758.68994140625,7149.7998046875,4524.08984375
2021-09-02 00:00:00+00:00,6763.080078125,7163.89990234375,4536.9501953125
2021-09-03 00:00:00+00:00,6689.990234375,7138.39990234375,4535.43017578125
2021-09-07 00:00:00+00:00,6726.06982421875,7149.39990234375,4520.02978515625
2021-09-08 00:00:00+00:00,6668.89013671875,7095.5,4514.06982421875
2021-09-09 00:00:00+00:00,6684.72021484375,7024.2001953125,4493.27978515625
2021-09-10 00:00:00+00:00,6663.77001953125,7029.2001953125,4458.580078125
2021-09-13 00:00:00+00:00,6676.93017578125,7068.39990234375,4468.72998046875
2021-09-14 00:00:00+00:00,6652.97021484375,7034.10009765625,4443.0498046875
2021-09-15 00:00:00+00:00,6583.6201171875,7016.5,4480.7001953125
2021-09-16 00:00:00+00:00,6622.58984375,7027.5,4473.75
2021-09-17 00:00:00+00:00,6570.18994140625,6963.60009765625,4432.990234375
2021-09-20 00:00:00+00:00,6455.81005859375,6903.89990234375,4357.72998046875
2021-09-21 00:00:00+00:00,6552.72998046875,6981.0,4354.18994140625
2021-09-22 00:00:00+00:00,6637.0,7083.39990234375,4395.64013671875
2021-09-23 00:00:00+00:00,6701.97998046875,7078.39990234375,4448.97998046875
2021-09-24 00:00:00+00:00,6638.4599609375,7051.5,4455.47998046875
2021-09-27 00:00:00+00:00,6650.91015625,7063.39990234375,4443.10986328125
2021-09-28 00:00:00+00:00,6506.5,7028.10009765625,4352.6298828125
2021-09-29 00:00:00+00:00,6560.7998046875,7108.2001953125,4359.4599609375
2021-09-30 00:00:00+00:00,6520.009765625,7086.39990234375,4307.5400390625
2021-10-01 00:00:00+00:00,6517.68994140625,7027.10009765625,4357.0400390625
2021-10-04 00:00:00+00:00,6477.66015625,7011.0,4300.4599609375
2021-10-05 00:00:00+00:00,6576.27978515625,7077.10009765625,4345.72021484375
2021-10-06 00:00:00+00:00,6493.1201171875,6995.89990234375,4363.5498046875
2021-10-07 00:00:00+00:00,6600.18994140625,7078.0,4399.759765625
2021-10-08 00:00:00+00:00,6559.990234375,7095.60009765625,4391.33984375
2021-10-11 00:00:00+00:00,6570.5400390625,7146.89990234375,4361.18994140625
2021-10-12 00:00:00+00:00,6548.10986328125,7130.2001953125,4350.64990234375
2021-10-13 00:00:00+00:00,6597.3798828125,7141.7998046875,4363.7998046875
2021-10-14 00:00:00+00:00,6685.2099609375,7207.7001953125,4438.259765625
2021-10-15 00:00:00+00:00,6727.52001953125,7234.0,4471.3701171875
2021-10-18 00:00:00+00:00,6673.10009765625,7203.7998046875,4486.4599609375
2021-10-19 00:00:00+00:00,6669.85009765625,7217.5,4519.6298828125
2021-10-20 00:00:00+00:00,6705.60986328125,7223.10009765625,4536.18994140625
2021-10-21 00:00:00+00:00,6686.169921875,7190.2998046875,4549.77978515625
2021-10-22 00:00:00+00:00,6733.68994140625,7204.60009765625,4544.89990234375
2021-10-25 00:00:00+00:00,6712.8701171875,7222.7998046875,4566.47998046875
2021-10-26 00:00:00+00:00,6766.509765625,7277.60009765625,4574.7900390625
2021-10-27 00:00:00+00:00,6753.52001953125,7253.2998046875,4551.68017578125
2021-10-28 00:00:00+00:00,6804.22021484375,7249.5,4596.419921875
2021-10-29 00:00:00+00:00,6830.33984375,7237.60009765625,4605.3798828125
2021-11-01 00:00:00+00:00,6893.2900390625,7288.60009765625,4613.669921875
2021-11-02 00:00:00+00:00,6927.02978515625,7274.7998046875,4630.64990234375
2021-11-03 00:00:00+00:00,6950.64990234375,7248.89990234375,4660.56982421875
2021-11-04 00:00:00+00:00,6987.7900390625,7279.89990234375,4680.06005859375
2021-11-05 00:00:00+00:00,7040.7900390625,7304.0,4697.52978515625
2021-11-08 00:00:00+00:00,7047.47998046875,7300.39990234375,4701.7001953125
2021-11-09 00:00:00+00:00,7043.27001953125,7274.0,4685.25
2021-11-10 00:00:00+00:00,7045.16015625,7340.2001953125,4646.7099609375
2021-11-11 00:00:00+00:00,7059.5498046875,7384.2001953125,4649.27001953125
2021-11-12 00:00:00+00:00,7091.39990234375,7347.89990234375,4682.85009765625
2021-11-15 00:00:00+00:00,7128.6298828125,7351.89990234375,4682.7998046875
2021-11-16 00:00:00+00:00,7152.60009765625,7327.0,4700.89990234375
2021-11-17 00:00:00+00:00,7156.85009765625,7291.2001953125,4688.669921875
2021-11-18 00:00:00+00:00,7141.97998046875,7256.0,4704.5400390625
2021-11-19 00:00:00+00:00,7112.2900390625,7223.60009765625,4697.9599609375
2021-11-22 00:00:00+00:00,7105.0,7255.5,4682.93994140625
2021-11-23 00:00:00+00:00,7044.6201171875,7266.7001953125,4690.7001953125
2021-11-24 00:00:00+00:00,7042.22998046875,7286.2998046875,4701.4599609375
2021-11-26 00:00:00+00:00,6739.72998046875,7044.0,4594.6201171875
2021-11-29 00:00:00+00:00,6776.25,7110.0,4655.27001953125
2021-11-30 00:00:00+00:00,6721.16015625,7059.5,4567.0
2021-12-01 00:00:00+00:00,6881.8701171875,7168.7001953125,4513.0400390625
2021-12-02 00:00:00+00:00,6795.75,7129.2001953125,4577.10009765625
2021-12-03 00:00:00+00:00,6765.52001953125,7122.2998046875,4538.43017578125
2021-12-06 00:00:00+00:00,6865.77978515625,7232.2998046875,4591.669921875
2021-12-07 00:00:00+00:00,7065.39013671875,7339.89990234375,4686.75
2021-12-08 00:00:00+00:00,7014.56982421875,7337.39990234375,4701.2099609375
2021-12-09 00:00:00+00:00,7008.22998046875,7321.2998046875,4667.4501953125
2021-12-10 00:00:00+00:00,6991.68017578125,7291.7998046875,4712.02001953125
2021-12-13 00:00:00+00:00,6942.91015625,7231.39990234375,4668.97021484375
2021-12-14 00:00:00+00:00,6895.31005859375,7218.60009765625,4634.08984375
2021-12-15 00:00:00+00:00,6927.6298828125,7170.7998046875,4709.85009765625
2021-12-16 00:00:00+00:00,7005.06982421875,7260.60009765625,4668.669921875
2021-12-17 00:00:00+00:00,6926.6298828125,7269.89990234375,4620.64013671875
2021-12-20 00:00:00+00:00,6870.10009765625,7198.0,4568.02001953125
2021-12-21 00:00:00+00:00,6964.990234375,7297.39990234375,4649.22998046875
2021-12-22 00:00:00+00:00,7051.669921875,7341.7001953125,4696.56005859375
2021-12-23 00:00:00+00:00,7106.14990234375,7373.2998046875,4725.7900390625
2021-12-27 00:00:00+00:00,7140.39013671875,7373.2998046875,4791.18994140625
2021-12-28 00:00:00+00:00,7181.10986328125,7373.2998046875,4786.35009765625
2021-12-29 00:00:00+00:00,7161.52001953125,7420.7001953125,4793.06005859375
2021-12-30 00:00:00+00:00,7173.22998046875,7403.0,4778.72998046875
2021-12-31 00:00:00+00:00,7153.02978515625,7384.5,4766.18017578125
